# logT  f_HII  f_OIII
5.111087621960033189e+00 9.999906174444207485e-01 2.968496338424115866e-01
5.121867145758689510e+00 9.999911860589154600e-01 2.689542043604257193e-01
5.132646669557345831e+00 9.999917144754488785e-01 2.426899940050897264e-01
5.143426193356002152e+00 9.999922049858642747e-01 2.181500678363565981e-01
5.154205717154659361e+00 9.999926606440054933e-01 1.953536148148063700e-01
5.164985240953315682e+00 9.999930851890697081e-01 1.742381689606858630e-01
5.175764764751972002e+00 9.999934807231157796e-01 1.547916657293484377e-01
5.186544288550628323e+00 9.999938486582947705e-01 1.370185633353932508e-01
5.197323812349285532e+00 9.999941923100790220e-01 1.207881460829796638e-01
5.208103336147941853e+00 9.999945134881949027e-01 1.060358583041049185e-01
5.218882859946598174e+00 9.999948128383325807e-01 9.275406704517401291e-02
5.229662383745255383e+00 9.999950929824532597e-01 8.079918526378139509e-02
5.240441907543911704e+00 9.999953554019336277e-01 7.008572586261420378e-02
5.251221431342568025e+00 9.999956007978511030e-01 6.056698457715471023e-02
5.262000955141225234e+00 9.999958307009441105e-01 5.213609766350742192e-02
5.272780478939881554e+00 9.999960465212045513e-01 4.468820394053795581e-02
5.283560002738537875e+00 9.999962489766602847e-01 3.815540422722261266e-02
5.294339526537195084e+00 9.999964388443731700e-01 3.246128466712826927e-02
5.305119050335851405e+00 9.999966174438851274e-01 2.749832073976228239e-02
5.315898574134507726e+00 9.999967854852594984e-01 2.319391887097293353e-02
5.326678097933164935e+00 9.999969432289932403e-01 1.949679170423035748e-02
5.337457621731821256e+00 9.999970918960654487e-01 1.631097479121249028e-02
5.348237145530477576e+00 9.999972320795444958e-01 1.357581628190440357e-02
5.359016669329134785e+00 9.999973639704773376e-01 1.124916630907976493e-02
5.369796193127791106e+00 9.999974884098362660e-01 9.266234950144539365e-03
5.380575716926447427e+00 9.999976059576971554e-01 7.579481670851919047e-03
5.391355240725104636e+00 9.999977168535196803e-01 6.155890776236370987e-03
5.402134764523760957e+00 9.999978215609288679e-01 4.958553807319671276e-03
5.412914288322417278e+00 9.999979206363754924e-01 3.952999500896199093e-03
5.423693812121074487e+00 9.999980143475950545e-01 3.116289033989868163e-03
5.434473335919730808e+00 9.999981028891138379e-01 2.429132792869782929e-03
5.445252859718387128e+00 9.999981868013857467e-01 1.867080791816453896e-03
5.456032383517043449e+00 9.999982663594699783e-01 1.413630242723665524e-03
5.466811907315699770e+00 9.999983415879951654e-01 1.057111964129297350e-03
5.477591431114356979e+00 9.999984129835408631e-01 7.785925962780638598e-04
